"cop","Inf.round","clutch","selection_line","exposed","checking_day","cop_stage_checking","infection","grp","dead","dpi"
"4_048_2D",2,"S3","slow",1,2,"C2",1,"slow",1,17
"4_048_3A",2,"S3","slow",1,NA,NA,NA,"uninf",0,30
"4_048_3B",2,"","",0,NA,NA,NA,"unexp",0,30
"4_048_3C",2,"S3","slow",1,2,"C2",1,"slow",1,30
"4_048_3D",2,"S3","slow",1,2,"C2",0,"uninf",0,30
"4_048_4A",2,"S3","slow",1,2,"C2",1,"slow",1,6
"4_048_4B",2,"S3","slow",1,2,"C2",0,"uninf",1,8
"4_048_4C",2,"S3","slow",1,2,"C2",1,"slow",1,22
"4_048_4D",2,"","",0,2,"C2",0,"unexp",0,30
"4_048_5A",2,"S3","slow",1,2,"C2",1,"slow",1,6
"4_048_5B",2,"S3","slow",1,2,"C2",0,"uninf",1,8
"4_048_5C",2,"S3","slow",1,2,"C2",0,"uninf",0,30
"4_048_5D",2,"S3","slow",1,2,"C2",0,"uninf",1,27
"4_048_6A",2,"S3","slow",1,NA,NA,NA,"uninf",0,30
"4_048_6B",2,"S3","slow",1,2,"C2",1,"slow",1,6
"4_048_6C",2,"S3","slow",1,2,"C2",0,"uninf",0,30
"4_048_6D",2,"S3","slow",1,2,"C3",0,"uninf",0,30
"4_049_1A",2,"S7","slow",1,2,"C2",0,"uninf",0,30
"4_049_1B",2,"S7","slow",1,2,"C2",1,"slow",0,30
"4_049_1C",2,"S7","slow",1,2,"C2",1,"slow",1,8
"4_049_1D",2,"S7","slow",1,2,"C2",1,"slow",1,6
"4_049_2A",2,"S7","slow",1,2,"C1",1,"slow",0,30
"4_049_2B",2,"S7","slow",1,2,"C2",1,"slow",1,10
"4_049_2C",2,"S7","slow",1,2,"C2",1,"slow",1,8
"4_049_2D",2,"S7","slow",1,2,"C2",0,"uninf",1,8
"4_049_3A",2,"S7","slow",1,2,"C2",1,"slow",0,30
"4_049_3B",2,"S7","slow",1,2,"C2",1,"slow",1,8
"4_049_3C",2,"","",0,2,"C3",0,"unexp",1,8
"4_049_3D",2,"S7","slow",1,2,"C2",0,"uninf",1,6
"4_049_4A",2,"","",0,2,"C3",0,"unexp",0,30
"4_049_4B",2,"S7","slow",1,2,"C2",1,"slow",0,30
"4_049_4C",2,"S7","slow",1,2,"C1",1,"slow",1,6
"4_049_4D",2,"S7","slow",1,2,"C2",1,"slow",1,6
"4_049_5A",2,"S7","slow",1,2,"C2",1,"slow",0,30
"4_049_5B",2,"S7","slow",1,2,"C2",1,"slow",0,30
"4_049_5C",2,"S7","slow",1,2,"C2",1,"slow",1,6
"4_049_5D",2,"S7","slow",1,2,"C2",1,"slow",1,6
"4_049_6A",2,"S7","slow",1,2,"C2",1,"slow",0,30
"4_049_6B",2,"S7","slow",1,2,"C1",1,"slow",1,8
"4_049_6C",2,"S7","slow",1,2,"C2",1,"slow",1,8
"4_049_6D",2,"S7","slow",1,2,"C3",0,"uninf",1,8
"4_050_1A",2,"S2","slow",1,5,"C2",0,"uninf",1,6
"4_050_1B",2,"S2","slow",1,NA,NA,NA,"slow",0,30
"4_050_1C",2,"","",0,5,"C2",0,"unexp",0,30
"4_050_1D",2,"S2","slow",1,5,"C2",1,"slow",0,30
"4_050_2A",2,"S2","slow",1,NA,NA,NA,"slow",0,30
"4_050_2B",2,"S2","slow",1,NA,NA,NA,"slow",0,30
"4_050_2C",2,"S2","slow",1,5,"C2",0,"uninf",0,30
"4_050_2D",2,"S2","slow",1,5,"C2",1,"slow",0,30
"4_050_3A",2,"S2","slow",1,5,"C2",1,"slow",1,8
"4_050_3B",2,"S2","slow",1,NA,NA,NA,"slow",0,30
