Copepod;;;cop;cop ID;Well;Gen;Inf round;Clutch;Mother;Line;Exposed;Grp;Trt (0=starved, 1=fed);Inf (0=uninf,1=inf);Day checked;Stage at checking;Date exposed;Day Dead;;Surv;days;Remarks;Grp2
6;6;A;006_6A;4_006_6A;6A;4;1;S4;A;slow;1;uninf;0;;;;20.11.2012;;20.12.2012;0;30;;2_uninf
6;6;B;006_6B;4_006_6B;6B;4;1;S4;A;slow;1;uninf;0;0;3;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
6;6;C;006_6C;4_006_6C;6C;4;1;S4;A;slow;1;uninf;1;0;3;C3;20.11.2012;;20.12.2012;0;30;;2_uninf
6;6;D;006_6D;4_006_6D;6D;4;1;S4;A;slow;1;uninf;1;0;3;C2;20.11.2012;;20.12.2012;0;30;;2_uninf
7;1;A;007_1A;4_007_1A;1A;4;1;F12;B;fast;1;fast;1;1;3;C2;20.11.2012;;20.12.2012;0;30;;3_fast
7;1;B;007_1B;4_007_1B;1B;4;1;F12;B;fast;1;uninf;1;0;3;C2;20.11.2012;20.12.2012;20.12.2012;1;30;;2_uninf
7;1;C;007_1C;4_007_1C;1C;4;1;F12;B;fast;1;fast;0;1;3;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;3_fast
7;1;D;007_1D;4_007_1D;1D;4;1;F12;B;fast;1;fast;0;1;3;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;3_fast
7;2;A;007_2A;4_007_2A;2A;4;1;F12;B;fast;1;uninf;1;;;;20.11.2012;;20.12.2012;0;30;;2_uninf
7;2;B;007_2B;4_007_2B;2B;4;1;F12;B;fast;1;uninf;1;;;;20.11.2012;;20.12.2012;0;30;;2_uninf
7;2;C;007_2C;4_007_2C;2C;4;1;F12;B;fast;1;fast;0;1;3;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;3_fast
7;2;D;007_2D;4_007_2D;2D;4;1;F12;B;fast;1;uninf;0;0;3;C2;20.11.2012;28.11.2012;28.11.2012;1;8;;2_uninf
7;3;A;007_3A;4_007_3A;3A;4;1;;;;0;unexp;1;0;3;C2;20.11.2012;;20.12.2012;0;30;;1_unexp
7;3;B;007_3B;4_007_3B;3B;4;1;F12;B;fast;1;fast;1;1;3;C2;20.11.2012;;20.12.2012;0;30;;3_fast
7;3;C;007_3C;4_007_3C;3C;4;1;F12;B;fast;1;fast;0;1;3;C2;20.11.2012;28.11.2012;28.11.2012;1;8;;3_fast
7;3;D;007_3D;4_007_3D;3D;4;1;F12;B;fast;1;fast;0;1;3;C2;20.11.2012;28.11.2012;28.11.2012;1;8;;3_fast
7;4;A;007_4A;4_007_4A;4A;4;1;F12;A;fast;1;uninf;1;0;3;C2;20.11.2012;05.12.2012;05.12.2012;1;15;;2_uninf
7;4;B;007_4B;4_007_4B;4B;4;1;F12;A;fast;1;fast;1;1;3;C2;20.11.2012;;20.12.2012;0;30;;3_fast
7;4;C;007_4C;4_007_4C;4C;4;1;;;;0;unexp;0;0;3;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;1_unexp
7;4;D;007_4D;4_007_4D;4D;4;1;F12;A;fast;1;fast;0;1;3;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;3_fast
7;5;A;007_5A;4_007_5A;5A;4;1;F12;A;fast;1;uninf;1;0;3;C2;20.11.2012;30.11.2012;30.11.2012;1;10;;2_uninf
7;5;B;007_5B;4_007_5B;5B;4;1;F12;A;fast;1;fast;1;1;3;C2;20.11.2012;19.12.2012;19.12.2012;1;29;;3_fast
7;5;C;007_5C;4_007_5C;5C;4;1;F12;A;fast;1;fast;0;1;3;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;3_fast
7;5;D;007_5D;4_007_5D;5D;4;1;F12;A;fast;1;fast;0;1;3;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;3_fast
